recNo,TxDate,Size,ProdName,UnitPrice
1,2021-08-25 09:02,Regular,Flavoured iced latte - Caramel,2.75
2,2021-08-25 09:04,,,
3,2021-08-25 09:06,,,
4,2021-08-25 09:08,,,
5,2021-08-25 09:10,Regular,Latte,2.15
6,2021-08-25 09:12,Large,Flavoured iced latte - Hazelnut,3.25
7,2021-08-25 09:14,Large,Latte,2.45
8,2021-08-25 09:17,Regular,Latte,2.15
9,2021-08-25 09:19,,,
10,2021-08-25 09:21,Large,Flavoured latte - Hazelnut,2.85
11,2021-08-25 09:23,,,
12,2021-08-25 09:25,Large,Flavoured latte - Hazelnut,2.85
13,2021-08-25 09:27,Regular,Flavoured iced latte - Vanilla,2.75
14,2021-08-25 09:29,Regular,Flat white,2.15
15,2021-08-25 09:32,,,
16,2021-08-25 09:34,,,
17,2021-08-25 09:36,Regular,Flat white,2.15
18,2021-08-25 09:38,,,
19,2021-08-25 09:40,Large,Latte,2.45
20,2021-08-25 09:42,,,
21,2021-08-25 09:44,,,
22,2021-08-25 09:46,Large,Latte,2.45
23,2021-08-25 09:49,Large,Flavoured latte - Hazelnut,2.85
24,2021-08-25 09:51,,,
25,2021-08-25 09:53,Regular,Flat white,2.15
26,2021-08-25 09:55,,,
27,2021-08-25 09:57,Large,Latte,2.45
28,2021-08-25 09:59,Large,Flavoured latte - Hazelnut,2.85
29,2021-08-25 10:01,Regular,Flat white,2.15
30,2021-08-25 10:02,Regular,Flavoured iced latte - Hazelnut,2.75
31,2021-08-25 10:03,,,
32,2021-08-25 10:04,Regular,Flavoured iced latte - Hazelnut,2.75
33,2021-08-25 10:05,Regular,Flavoured iced latte - Caramel,2.75
34,2021-08-25 10:06,Large,Flavoured iced latte - Hazelnut,3.25
35,2021-08-25 10:07,Regular,Flavoured iced latte - Hazelnut,2.75
36,2021-08-25 10:08,Large,Latte,2.45
37,2021-08-25 10:09,,,
38,2021-08-25 10:10,,,
39,2021-08-25 10:11,,,
40,2021-08-25 10:12,Regular,Flavoured iced latte - Hazelnut,2.75
41,2021-08-25 10:13,,,
42,2021-08-25 10:14,,,
43,2021-08-25 10:15,,,
44,2021-08-25 10:16,Regular,Flat white,2.15
45,2021-08-25 10:17,Regular,Flavoured iced latte - Hazelnut,2.75
46,2021-08-25 10:18,Large,Flavoured latte - Hazelnut,2.85
47,2021-08-25 10:19,,,
48,2021-08-25 10:20,Regular,Flavoured iced latte - Caramel,2.75
49,2021-08-25 10:21,,,
50,2021-08-25 10:22,Large,Latte,2.45
51,2021-08-25 10:23,Regular,Flavoured iced latte - Caramel,2.75
